               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.047639,            0.071868,            0.010199,             0.46047,             0.40354,              0.4236,             0.17437,            0.050044,             0.02511,           0.0086923,            0.007624,            0.007624,            0.007624
                  74,            0.048172,            0.069315,            0.010413,             0.45176,               0.446,             0.44173,             0.18897,            0.049038,            0.024582,            0.008572,            0.007591,            0.007591,            0.007591
                  75,            0.048703,            0.072057,           0.0098942,             0.58698,             0.41111,             0.44809,             0.19316,            0.049292,            0.025086,           0.0091004,            0.007558,            0.007558,            0.007558
                  76,            0.046745,            0.068989,             0.01009,             0.48184,             0.44483,             0.43111,             0.17614,            0.048846,            0.024772,           0.0098835,            0.007525,            0.007525,            0.007525
                  77,            0.047195,            0.066638,           0.0095271,             0.57401,             0.36962,             0.43616,             0.17746,            0.049228,            0.025232,           0.0098506,            0.007492,            0.007492,            0.007492
                  78,             0.04819,            0.068765,           0.0098919,             0.54146,             0.44647,              0.4553,             0.19076,            0.048744,            0.025271,           0.0092341,            0.007459,            0.007459,            0.007459
                  79,            0.047645,            0.070462,           0.0096058,             0.57921,              0.3162,             0.40062,              0.1703,            0.049768,            0.025248,           0.0092432,            0.007426,            0.007426,            0.007426
                  80,            0.046729,              0.0699,           0.0095218,             0.57838,              0.4272,             0.43841,             0.16669,            0.050323,            0.024781,           0.0089195,            0.007393,            0.007393,            0.007393
                  81,            0.047275,            0.068754,           0.0099435,             0.51811,              0.4213,             0.43721,             0.17391,            0.049704,             0.02603,            0.009517,             0.00736,             0.00736,             0.00736
                  82,             0.04755,             0.06661,           0.0096645,             0.56138,             0.38739,             0.41362,             0.16896,            0.048649,            0.025449,           0.0099654,            0.007327,            0.007327,            0.007327
                  83,            0.047127,            0.067911,           0.0095127,             0.48615,             0.44067,              0.4207,             0.18334,             0.04879,            0.024953,           0.0097011,            0.007294,            0.007294,            0.007294
                  84,            0.046846,            0.068432,           0.0090269,             0.51056,             0.42881,             0.45077,             0.18844,            0.048491,            0.025092,            0.009058,            0.007261,            0.007261,            0.007261
                  85,            0.046109,            0.065603,           0.0091377,             0.54448,             0.41835,              0.4306,             0.18206,            0.048232,            0.025051,           0.0086113,            0.007228,            0.007228,            0.007228
                  86,            0.047464,            0.068892,           0.0090696,             0.52798,             0.44068,             0.43576,              0.1893,            0.048366,             0.02476,           0.0088824,            0.007195,            0.007195,            0.007195
                  87,            0.046937,            0.067156,           0.0094055,             0.57173,             0.41093,             0.46962,             0.20579,             0.04833,            0.024939,           0.0088239,            0.007162,            0.007162,            0.007162
                  88,            0.046963,             0.06811,           0.0091929,             0.42654,             0.39562,             0.39038,             0.16968,             0.04919,            0.025614,           0.0093857,            0.007129,            0.007129,            0.007129
                  89,            0.047004,            0.068211,            0.009045,             0.63642,             0.46614,             0.48976,             0.19263,            0.047347,            0.025013,           0.0089153,            0.007096,            0.007096,            0.007096
                  90,             0.04704,            0.070459,           0.0083542,             0.51174,             0.50038,             0.46692,             0.20117,            0.047711,            0.024666,           0.0089344,            0.007063,            0.007063,            0.007063
                  91,            0.047434,            0.071044,           0.0088644,             0.55997,             0.44099,             0.44277,             0.18036,             0.04852,            0.024301,           0.0099521,             0.00703,             0.00703,             0.00703
                  92,            0.046716,            0.067071,           0.0095161,             0.51536,             0.48529,             0.45479,             0.19745,            0.049905,            0.024087,           0.0095639,            0.006997,            0.006997,            0.006997
                  93,            0.047092,            0.067872,           0.0091533,             0.63251,             0.44018,              0.4653,             0.20217,            0.048577,            0.023675,           0.0085087,            0.006964,            0.006964,            0.006964
                  94,            0.046381,            0.067822,           0.0092542,             0.68569,             0.43839,             0.49482,             0.19786,            0.049105,            0.024191,           0.0085486,            0.006931,            0.006931,            0.006931
